date,Open,High,Low,Close,Volume,MarketCap
2015-04-01,244.22,247.54,241.16,247.27,22877200,3463619267
2015-04-02,247.09,254.46,245.42,253.01,26272600,3544973232
2015-04-03,253.07,256.04,251.88,254.32,23146600,3564354620
2015-04-04,254.29,255.26,251.1,253.7,12493500,3556559216
2015-04-05,253.76,260.67,251.94,260.6,19649200,3654268030
2015-04-06,260.72,261.8,254.57,255.49,20034200,3583466919
2015-04-07,255.27,255.8,252.21,253.18,18467400,3552014128
2015-04-08,253.06,253.85,244.21,245.02,30086400,3438326345
2015-04-09,244.75,246.12,239.4,243.68,21643500,3420248520
2015-04-10,243.69,243.69,232.77,236.07,28882000,3314409567
2015-04-11,236.02,239.54,234.18,236.55,16365200,3321976615
2015-04-12,236.54,237.73,233.49,236.15,12387900,3317129018
2015-04-13,235.95,236.93,222,224.59,31181800,3155548414
2015-04-14,224.76,224.98,216.32,219.16,31719000,3080098939
2015-04-15,219.07,223.83,218.65,223.83,22562000,3146465248
2015-04-16,223.92,229.67,223.92,228.57,24805400,3213884952
2015-04-17,228.57,228.91,221.94,222.88,20429800,3134573444
2015-04-18,222.85,224.32,220.88,223.36,12939000,3142049362
2015-04-19,223.46,226.35,222.37,222.6,15021500,3132226860
2015-04-20,222.61,226.35,221.98,224.63,18364700,3161599719
2015-04-21,224.62,235.27,224.3,235.27,24978000,3312299315
2015-04-22,235.6,237.91,233.48,234.18,23847900,3297795229
2015-04-23,234.05,236.48,233.2,236.46,17036000,3330762351
2015-04-24,235.97,236.3,229.93,231.27,21448700,3258311725
2015-04-25,231.24,232.56,226.34,226.39,13957200,3190508610
2015-04-26,226.41,226.94,214.87,219.43,28943700,3093216938
2015-04-27,219.43,233.3,218.02,229.29,38574000,3232938332
2015-04-28,228.97,229.49,223.07,225.85,21469200,3185425042
2015-04-29,225.59,227.04,223.43,225.81,18936500,3185479101
2015-04-30,225.69,239.56,224.99,236.15,33818600,3332094504
2015-05-01,235.94,238.97,232.08,232.08,18815300,3275574610
2015-05-02,232.34,235.73,232.34,234.93,12535500,3316683008
2015-05-03,234.88,243.24,234.08,240.36,18494100,3394161416
2015-05-04,240.36,242.64,237.81,239.02,21223400,3375997790
2015-05-05,238.85,239.2,232.05,236.12,23929100,3335976518
2015-05-06,236.25,236.45,229.23,229.78,29587200,3247353903
2015-05-07,229.66,239.1,228.57,237.33,29064400,3354923757
2015-05-08,237.2,246.27,236.27,243.86,27445500,3448119178
2015-05-09,243.77,247.8,239.64,241.83,19790500,3420193701
2015-05-10,241.73,244.07,238.85,240.3,15019100,3399245238
2015-05-11,240.3,244.27,239.38,242.16,20892300,3426529646
2015-05-12,242.15,242.88,240.1,241.11,19282600,3412644998
2015-05-13,241.4,243.7,235.04,236.38,27180100,3346584200
2015-05-14,236.21,237.8,234.06,236.93,24413700,3355311496
2015-05-15,236.96,238.75,236.79,237.6,16329400,3365752047
2015-05-16,237.64,237.7,235.29,236.15,11089700,3345969203
2015-05-17,236.01,238.02,236.01,236.8,11134300,3356176986
2015-05-18,236.89,237.21,232.46,233.13,16780300,3304944920
2015-05-19,233.04,234.15,231.82,231.95,14241900,3288950473
2015-05-20,231.89,234.68,231.84,234.02,15499400,3319170901
2015-05-21,234.02,236.24,233.84,235.34,15108900,3338890048
2015-05-22,235.32,240.97,235.06,240.35,27003000,3410712372
2015-05-23,240.29,241.02,238.69,238.87,14605000,3390435704
2015-05-24,238.98,241.98,238.81,240.95,11508000,3420845884
2015-05-25,240.93,241.02,236.64,237.11,14423900,3367127977
2015-05-26,237.1,238.24,235.69,237.12,16425000,3368066799
2015-05-27,237.07,238.64,236.7,237.28,18837000,3371257543
2015-05-28,237.26,237.82,236.65,237.41,13829600,3373816958
2015-05-29,237.38,237.52,235.73,237.1,14805000,3370295930
2015-05-30,237.09,237.09,232.05,233.35,14098600,3317769214
2015-05-31,233.13,233.25,229.54,230.19,14730800,3273756425
2015-06-01,230.23,231.71,221.3,222.93,26090500,3171172508
